BRAND,BRAND_ID,BRAND_URL,,Duplicates_note,Duplicates_note
Adidas Originals,129,https://logo.clearbit.com/adidas.com,,,
Laura Ashley,128,https://logo.clearbit.com/lauraashley.com,,,
Max Mara,127,https://logo.clearbit.com/maxmara.com,,,
Britney spears,126,https://logo.clearbit.com/britney.com,,,
Reebok,125,https://logo.clearbit.com/reebok.com.tr,,,
Hue,124,https://logo.clearbit.com/hue.com,,,
Nina Ricci,123,https://logo.clearbit.com/ninaricci.com,,,
Mink pink,121,https://logo.clearbit.com/minkpink.com,,,
Fred Perry,120,https://logo.clearbit.com/fredperry.jp,,,
Biba,119,https://logo.clearbit.com/biba.in,,,
IceBerg,118,https://logo.clearbit.com/iceberg.com,,,
Lacoste,116,https://logo.clearbit.com/lacoste.com,,,
Marc by Marc Jacobs,114,https://logo.clearbit.com/marcjacobs.com,,,
Ed Hardy,113,https://logo.clearbit.com/edhardyoriginals.com,,,
JJ valaya,112,https://logo.clearbit.com/valaya.com,,,
Hollister,111,https://logo.clearbit.com/hollisterco.com,,,
American Eagle,106,https://logo.clearbit.com/ae.com,,,
Frock and Frill,105,https://logo.clearbit.com/frockandfrill.com,,,
Valentino,104,https://logo.clearbit.com/valentino.com,,,
Totes,103,https://logo.clearbit.com/totes.co.uk,,,
Tarun Tahiliani,102,https://logo.clearbit.com/taruntahiliani.com,,,
Diane von Fürstenberg,99,https://logo.clearbit.com/dvf.com,,,
Black Milk Clothing,98,https://logo.clearbit.com/blackmilkclothing.com.au,,,
Bottega Veneta,97,https://logo.clearbit.com/bottegaveneta.com,,,
Mango,96,https://logo.clearbit.com/mango.com,,,
Coccinelle,95,https://logo.clearbit.com/coccinelle.com,,,
Marks and Spencer,94,https://logo.clearbit.com/marksandspencer.com,,,
Toms,93,https://logo.clearbit.com/toms.com,,,
Church's,92,https://logo.clearbit.com/church-footwear.com,,,
Paul smith,91,https://logo.clearbit.com/paulsmith.co.uk,,,
Next,90,https://logo.clearbit.com/next.co.uk,,,
Tom Ford,85,https://logo.clearbit.com/tomford.com,,,
Guess,84,https://logo.clearbit.com/guess.com,,,
Berksha,82,https://logo.clearbit.com/bershka.com,,,
Balenciaga,81,https://logo.clearbit.com/balenciaga.fr,,,
U.S Polo,80,https://logo.clearbit.com/uspoloassn.com,,,
Steve Madden,79,https://logo.clearbit.com/stevemadden.com,,,
Massimo Dutti,78,https://logo.clearbit.com/massimodutti.com,,,
Topshop,77,https://logo.clearbit.com/topshop.com,,,
Mulberry,74,https://logo.clearbit.com/mulberry.com.tr,,,
Bruno Magli,73,https://logo.clearbit.com/brunomagli.com,,,
Warehouse,72,https://logo.clearbit.com/warehouse.co.uk,,,
Chopard,68,https://logo.clearbit.com/chopard.fr,,,
Billabong,67,https://logo.clearbit.com/billabong.com,,,
Nautica,66,https://logo.clearbit.com/nautica.com,,,
Armani Exchange,65,https://logo.clearbit.com/armaniexchange.com,,,
Miu Miu,63,https://logo.clearbit.com/miumiu.com,,,
Done by None,62,https://logo.clearbit.com/donebynone.com,,,
Oscar De le Renta,58,https://logo.clearbit.com/oscardelarenta.com,,,
Hugo boss,57,https://logo.clearbit.com/hugoboss.com,,,
